Study_Hours,Attendance,Assignment_Score,Marks,Result
4.5,59.3,48.3,52.4,Average
11.4,77.1,47.3,100.0,Excellent
8.8,93.6,93.4,93.0,Excellent
7.2,86.6,47.5,61.6,Good
1.9,90.3,49.0,38.0,Poor
1.9,82.9,83.2,39.3,Average
0.7,84.6,61.5,23.8,Poor
10.4,92.5,84.4,99.6,Excellent
7.2,62.5,34.6,54.8,Average
8.5,74.5,64.1,81.8,Good
0.2,61.1,32.4,9.2,Poor
11.6,99.4,34.4,91.5,Excellent
10.0,97.2,93.5,90.7,Excellent
2.5,52.0,39.7,36.5,Poor
2.2,85.3,67.3,34.1,Poor
2.2,96.3,58.8,44.5,Average
3.7,59.0,54.3,39.6,Average
6.3,78.4,93.0,62.0,Good
5.2,95.8,31.5,46.6,Average
3.5,51.7,76.5,51.1,Average
7.3,84.9,97.4,78.6,Good
1.7,64.9,69.2,29.3,Poor
3.5,96.2,95.6,54.1,Average
4.4,98.6,33.7,49.9,Average
5.5,97.2,59.3,65.5,Good
9.4,73.7,48.2,90.2,Excellent
2.4,93.1,81.2,40.5,Average
6.2,92.2,98.7,65.5,Good
7.1,66.0,48.0,63.9,Good
0.6,91.4,75.8,29.5,Poor
7.3,51.9,43.9,60.2,Average
2.0,79.8,69.6,31.4,Poor
0.8,61.5,62.5,25.8,Poor
11.4,56.0,98.0,100.0,Excellent
11.6,53.8,72.6,100.0,Excellent
9.7,84.8,54.5,83.5,Excellent
3.7,67.0,38.0,38.7,Poor
1.2,86.2,40.6,20.3,Poor
8.2,53.3,45.8,76.4,Good
5.3,65.8,47.6,58.2,Average
1.5,77.0,89.5,26.6,Poor
5.9,89.5,69.3,59.8,Good
0.4,65.9,66.6,15.3,Poor
10.9,81.3,38.0,88.9,Excellent
3.1,94.3,90.2,48.8,Average
8.0,80.8,80.6,72.6,Good
3.7,61.6,34.7,34.7,Poor
6.2,51.2,79.5,59.7,Good
6.6,93.5,68.0,69.9,Good
2.2,51.1,35.7,28.1,Poor
11.6,93.7,62.1,99.6,Excellent
9.3,76.4,63.9,86.4,Excellent
11.3,97.0,41.6,94.2,Excellent
10.7,89.9,96.2,100.0,Excellent
7.2,99.9,89.5,86.5,Excellent
11.1,67.5,76.8,100.0,Excellent
1.1,88.4,62.4,22.2,Poor
2.4,70.1,58.8,39.4,Poor
0.5,74.0,75.6,30.4,Poor
3.9,81.4,68.2,43.4,Average
4.7,93.7,34.4,53.0,Average
3.3,99.2,65.9,53.6,Average
9.9,88.4,86.4,90.1,Excellent
4.3,70.9,62.1,44.9,Average
3.4,71.1,33.6,42.5,Poor
6.5,86.9,85.0,72.6,Good
1.7,61.9,44.1,29.6,Poor
9.6,55.5,48.1,84.3,Good
0.9,67.7,41.5,23.3,Poor
11.8,64.4,53.1,93.3,Excellent
9.3,64.8,83.0,93.2,Excellent
2.4,61.7,66.4,42.0,Poor
0.1,52.1,44.3,13.4,Poor
9.8,50.9,91.4,91.7,Excellent
8.5,99.4,91.6,80.0,Excellent
8.7,71.4,90.9,89.1,Excellent
9.3,69.2,46.7,83.9,Good
0.9,84.0,61.6,26.6,Poor
4.3,60.9,98.9,61.6,Average
1.4,97.5,84.0,34.6,Poor
10.4,89.3,31.9,90.6,Excellent
7.5,54.5,34.6,59.6,Average
4.0,70.9,62.5,47.3,Average
0.8,94.0,93.6,32.6,Poor
3.7,97.2,67.7,50.5,Average
3.9,73.4,64.8,45.8,Average
8.8,80.7,37.4,76.2,Good
7.7,58.4,76.0,78.7,Good
10.6,99.6,87.5,99.8,Excellent
5.7,61.6,56.6,49.1,Average
1.4,97.1,84.3,45.4,Average
8.6,82.5,97.5,94.6,Excellent
9.1,80.4,44.3,74.3,Good
6.7,75.6,66.6,71.5,Good
9.3,61.5,50.1,78.4,Good
5.9,58.8,85.5,65.8,Good
6.3,61.0,70.4,65.6,Good
5.1,59.3,74.4,55.6,Average
0.3,89.0,85.9,24.3,Poor
1.3,67.5,57.7,23.9,Poor
0.4,52.9,94.1,22.2,Poor
7.6,98.5,67.3,72.6,Good
3.8,94.2,41.1,43.7,Average
6.1,96.4,78.7,64.5,Good
10.9,99.7,85.5,100.0,Excellent
3.0,58.7,52.2,44.7,Poor
4.9,69.8,90.0,56.6,Average
9.1,87.9,93.4,92.1,Excellent
2.7,84.8,49.4,40.1,Poor
0.9,57.7,98.8,34.4,Poor
3.5,90.8,39.8,41.8,Average
1.9,61.2,44.1,32.2,Poor
11.2,61.2,42.9,95.2,Excellent
9.7,76.8,92.6,87.9,Excellent
7.6,79.6,75.8,80.7,Good
10.5,79.0,40.6,93.7,Excellent
9.6,54.6,60.8,81.3,Excellent
2.2,93.9,73.1,39.9,Average
10.7,63.3,35.8,91.9,Excellent
6.5,56.5,91.8,68.3,Good
9.7,94.4,86.3,99.9,Excellent
10.8,97.8,65.4,100.0,Excellent
3.8,93.1,97.7,51.6,Average
1.3,90.5,59.2,23.2,Poor
2.7,82.8,98.9,48.7,Average
5.1,77.5,76.8,62.6,Good
9.8,54.3,74.4,87.9,Excellent
10.3,70.4,41.6,94.9,Excellent
0.1,68.6,91.7,19.1,Poor
6.1,63.0,59.9,64.7,Good
5.0,86.2,41.4,48.9,Average
2.7,74.8,30.9,40.9,Poor
1.4,54.1,69.2,39.3,Poor
4.1,61.0,66.9,44.0,Average
11.3,84.2,80.4,100.0,Excellent
3.9,53.8,92.3,55.3,Average
6.2,92.6,35.6,58.0,Average
8.4,74.8,81.2,82.5,Excellent
